"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33701","Скопировать ссылку по ssh","","Thu Aug 28 08:35:15 UTC 2025","passed","Thu Aug 28 08:35:48 UTC 2025","","github.example.tests.CopyGitHubCLILinkOnCodePageTest","github.example.tests.CopyGitHubCLILinkOnCodePageTest","test"
"","61759","Отображение тега в списке тегов","","Thu Aug 28 08:35:48 UTC 2025","failed","Thu Aug 28 08:36:50 UTC 2025","","github.example.tests.FindTagOnCodePageTest","github.example.tests.FindTagOnCodePageTest","test"
"","2023","Отображение информации о контрибьютере при наведении на аватар на странице кода","","Thu Aug 28 08:36:50 UTC 2025","passed","Thu Aug 28 08:36:52 UTC 2025","","github.example.tests.InfoAboutContributorsOnCodePageTest","github.example.tests.InfoAboutContributorsOnCodePageTest","test"
